id,route_name,first_ascent,description,location,protection,YDS,parent_sector,left_right_seq,mp_route_id,mp_sector_id,longitude,latitude
14a43978-b7fa-46f8-9ff1-64bee82f8ff1,Wheres Waldo?,unknown,Sit Start on the crack. Pull a big move to a crimp and work across the face to the arete on the left side of the boulder. Top out from there. Super cool movement for an easy problem.,,Pads,V2,Waldo's Rock Park,999999,118170758,118170033,-91.54207,42.02717
cb62acfc-d864-438f-b6d6-23106b349bf0,Vanished Edens,"Joe Feldman, 2019",Start right hand in a sidepull slot and left hand on a medium sized tooth feature.  Get your foot on and have at it.,Hot Stuff Camp Roof,pad - good landing,V4,Hot Stuff Camp Roof,1,117944541,117944427,-91.5615,42.6154
bb8e2f19-f991-43e4-a087-88cb7f1ca554,Stairway to Heaven,unknown,"Climb the large flake right of Slot Machine to a ledge.  Move into left crack for harder, cleaner finish or move right to bush whack to the top.  Good lead for 5.7, tricky gear.",,"SR, tricams are handy.",5.7,Drive In Wall,5,106956280,106947227,-91.5625,42.614
7d4cfd88-198d-4a58-8169-cf88beefddfb,Shagadelic Humper Bumper,unknown,Climb the buttress left of Cake Walk.,,Build a TR anchor on off of trees above.,5.8,Cake Walk and Razor Wall,999999,106956324,106947239,-91.5625,42.614
484311cf-d9de-41eb-b4c2-8bf54afeefb0,The Razor,unknown,"On the North facing wall, start at the lowest point on the buttress.  Climb up through overhanging terrain to top.",,Build TR anchor on trees above.,5.8,Cake Walk and Razor Wall,999999,106956330,106947239,-91.5625,42.614
97cface7-1ccd-4ef6-aedb-980889108716,Cake Walk,unknown,Obvious chimney half way up the gully.  Several variations.  Expect to find scout troops camped out on this climb.,,SR,Easy 5th,Cake Walk and Razor Wall,999999,106956306,106947239,-91.5625,42.614
39a8f611-092d-4d2a-8d6b-fe22823b4251,Spinal Tap,unknown,"Vertical hand crack to the right of Stairway to Heaven.  Climb crack to overhanging off-width (crux).  Above is easy, dirty climbing to top.",,SR,5.7+,Drive In Wall,6,106956299,106947227,-91.5625,42.614
6f9fc574-cd82-453b-9455-cb2bb971932c,Slot Machine,unknown,Large off-width/squeeze chimney in the center of the wall.  Very polished as this is where every one seems to camp out.,,"SR, there is a chock stone about half way up you can sling.",5.8,Drive In Wall,4,106956271,106947227,-91.5625,42.614
d2a4b92c-1194-4aa7-88fd-fa9cc0257902,Nemesis,unknown,Face climb right of A-Wall.,,Build a TR anchor off of trees on top.,5.11c,Drive In Wall,2,106956249,106947227,-91.5625,42.614
15f38c5e-3266-4988-9d74-82d4432365b5,Lefty and Poncho,unknown,Diagonal hand crack that starts on the left side of the wall.  Joins the route A-Wall then tops out.  The wall above the crack is not able to be protected.,,"SR, upper head wall not protected.",5.10b,Drive In Wall,0,106956212,106947227,-91.5625,42.614
66f509b1-466b-40c3-944d-84eeff0c764f,Bride of Nemesis,unknown,Start at Slot Machine and angle to large bulge.  Traverse under bulge and join Nemesis.,,Build a TR anchor on trees above climb.,5.12b,Drive In Wall,3,106956263,106947227,-91.5625,42.614
